angle_degree,range_meter,x_meter,y_meter
-180.00000500895632,0.14499999582767487,-0.1449999958276743,1.2676302735783826e-08
-179.88885958841865,0.14499999582767487,-0.1449997230325564,-0.0002812659020672792
-179.77771416788096,0.1469999998807907,-0.14699889360070442,-0.0005703026575870247
-179.66656874734326,0.14800000190734863,-0.14799749581054336,-0.0008612771815171192
-179.55542332680557,0.1469999998807907,-0.14699557467738195,-0.001140609582065449
-179.4442779062679,0.1459999978542328,-0.14599313049903498,-0.001416058094754696
-179.3331324857302,0.14499999582767487,-0.14499017457351668,-0.0016876217487598515
-179.2219870651925,0.14399999380111694,-0.1439867182006253,-0.001955299602473538
-179.1108416446548,0.14300000667572021,-0.1429827875812394,-0.0022190909747472295
-178.99969622411712,0.1420000046491623,-0.1419783642193025,-0.002478994548844553
-178.88855080357945,0.14100000262260437,-0.14097347431932766,-0.002735009673164677
-178.77740538304175,0.14100000262260437,-0.14096790356072086,-0.003008472248457741
-178.66625996250406,0.13899999856948853,-0.13896234013159936,-0.003235371302880734
-178.55511454196636,0.13600000739097595,-0.13595676521936717,-0.003429285848596967
-178.4439691214287,0.13500000536441803,-0.1349502238327863,-0.0036658608639418147
-178.332823700891,0.13600000739097595,-0.13594243741021608,-0.003956731140095235
-178.2216782803533,0.13600000739097595,-0.13593450615835975,-0.004220431948079159
-178.1105328598156,0.13600000739097595,-0.135926063380802,-0.004484116874448668
-177.9993874392779,0.13699999451637268,-0.13691648669640202,-0.004782694658883771
-177.88824201874024,0.13699999451637268,-0.1369069513646087,-0.005048283424572581
-177.77709659820255,0.13699999451637268,-0.1368969008477729,-0.005313853193416568
-177.66595117766485,0.13699999451637268,-0.13688633518371499,-0.005579402966068571
-177.55480575712716,0.13699999451637268,-0.13687525441219395,-0.00584493174325668
-177.4436603365895,0.1379999965429306,-0.13786266544655093,-0.006155040359025405
-177.3325149160518,0.1379999965429306,-0.1378504661865172,-0.00642246198966868
-177.2213694955141,0.1379999965429306,-0.13783774819096586,-0.006689859452391188
-177.1102240749764,0.1379999965429306,-0.13782451150775513,-0.006957231740968104
-176.9990786544387,0.13699999451637268,-0.13681212546987975,-0.007172225728462959
-176.88793323390104,0.13699999451637268,-0.136797954997054,-0.00743760755284513
-176.77678781336334,0.13600000739097595,-0.13578486453624827,-0.007646736115377428
-176.66564239282565,0.13600000739097595,-0.1357697755161546,-0.007910124312455422
-176.55449697228795,0.13600000739097595,-0.13575417559024594,-0.008173482743493858
-176.44335155175028,0.1340000033378601,-0.13374191286837933,-0.008312739431339719
-176.3322061312126,0.13199999928474426,-0.1317296282303875,-0.008444220358113843
-176.2210607106749,0.13099999725818634,-0.1307151720547125,-0.008633833236270826
-176.1099152901372,0.1289999932050705,-0.12870278163841353,-0.008751699574544363
-175.9987698695995,0.1289999932050705,-0.12868556247743698,-0.00900134749767498
-175.88762444906183,0.12999999523162842,-0.12966528640673292,-0.009322674577788162
-175.77647902852414,0.13099999725818634,-0.13064424417622025,-0.009647836299863731
-175.66533360798644,0.13099999725818634,-0.13062528298944637,-0.009901248687508094
-175.55418818744874,0.13199999928474426,-0.1316028233677217,-0.01023214018750384
-175.44304276691108,0.13300000131130219,-0.1325795677799258,-0.010566861222446471
-175.33189734637338,0.13500000536441803,-0.13455218991618034,-0.01098679376128613
-175.22075192583569,0.13500000536441803,-0.13453062399680854,-0.011247784467272736
-175.109606505298,0.13300000131130219,-0.13251582858897107,-0.011338232762861134
-174.9984610847603,0.13199999928474426,-0.1314973903856358,-0.011508089891037066
-174.88731566422263,0.13300000131130219,-0.13247084235618303,-0.011852268738502555
-174.77617024368493,0.13199999928474426,-0.1314517528234202,-0.012018173356335284
-174.66502482314723,0.12800000607967377,-0.12744552627212521,-0.011901234793816952
-174.55387940260954,0.12800000607967377,-0.12742219984349096,-0.012148437901309447
-174.44273398207187,0.12800000607967377,-0.1273983939212241,-0.012395595293858806
-174.33158856153418,0.12800000607967377,-0.127374108594907,-0.01264270604140421
-174.22044314099648,0.1289999932050705,-0.12834424784916798,-0.012990469234772645
-174.10929772045878,0.1289999932050705,-0.12831880677561772,-0.0132394136799904
-173.9981522999211,0.12800000607967377,-0.1272983771145368,-0.01338374911606235
-173.88700687938342,0.12800000607967377,-0.12727217510391806,-0.013630663986546715
-173.77586145884572,0.1289999932050705,-0.12823958674144254,-0.013985944347532333
-173.66471603830803,0.1289999932050705,-0.12821221479010647,-0.014234683892655788
-173.55357061777033,0.1289999932050705,-0.12818436037228745,-0.014483369872228676
-173.44242519723267,0.1289999932050705,-0.1281560235928024,-0.014732001350438059
-173.33127977669497,0.12999999523162842,-0.12912044076731033,-0.015096706140046394
-173.22013435615727,0.12999999523162842,-0.1290909124447935,-0.015347152321980466
-173.10898893561958,0.12999999523162842,-0.12906089834922752,-0.015597540752111267
-172.9978435150819,0.12999999523162842,-0.12903039859355636,-0.01584787048821949
-172.88669809454422,0.13099999725818634,-0.12999171851908242,-0.016221972694480512
-172.77555267400652,0.13099999725818634,-0.12996000570630664,-0.016474106909376743
-172.66440725346882,0.13099999725818634,-0.1299278038500572,-0.016726179131705148
-172.55326183293113,0.13099999725818634,-0.1298951130715107,-0.016978188412910253
-172.44211641239346,0.13099999725818634,-0.12986193349368352,-0.01723013380467343
-172.33097099185576,0.13099999725818634,-0.1298282652414314,-0.017482014358916467
-172.21982557131807,0.12999999523162842,-0.12880331169188183,-0.01759845610919747
-172.10868015078037,0.12999999523162842,-0.12876893094056577,-0.017848282400477946
-171.9975347302427,0.1289999932050705,-0.1277438015413898,-0.01795882553682861
-171.886389309705,0.1289999932050705,-0.12770872372008796,-0.01820659585684471
-171.7752438891673,0.12800000607967377,-0.1266834635571061,-0.018311242928099863
-171.66409846862962,0.12600000202655792,-0.12466882980039277,-0.018267002679512014
-171.55295304809192,0.125,-0.12364400589481948,-0.01836191183623982
-171.44180762755425,0.125,-0.12360815385945262,-0.018601728399745235
-171.33066220701656,0.125,-0.12357183668282475,-0.01884147496437813
-171.21951678647886,0.12399999797344208,-0.12254677206277818,-0.018928501113588677
-171.10837136594117,0.12399999797344208,-0.12250982299234922,-0.01916618813945274
-170.9972259454035,0.12399999797344208,-0.1224724129137119,-0.01940380304236503
-170.8860805248658,0.125,-0.1234219193232004,-0.01979974319473388
-170.7749351043281,0.125,-0.12338327852519587,-0.020039126237786364
-170.6637896837904,0.12800000607967377,-0.12630443959365323,-0.020765117272236296
-170.55264426325272,0.1289999932050705,-0.12725034482254527,-0.021174229370901868
-170.44149884271505,0.12999999523162842,-0.128195149087134,-0.02158709129898929
-170.33035342217735,0.12999999523162842,-0.12815303211685755,-0.021835730339951776
-170.21920800163966,0.12999999523162842,-0.1281104329028043,-0.02208428721239359
-170.10806258110196,0.12999999523162842,-0.12806735160527638,-0.02233276098098763
